Sex,Age group,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20
Females,30 to 34 years,946.4,941.9,939.3,941,947.5,929.1,914,905.7,936,950.1,958.2,948.5,952.5,945,944.9,952.3,971.6,956.8,943,948.9,956.9,969.9,965.5,977.6,983.2,992.5,992.9,986,982.2,992.1,959.7,955.2,979.4,984,985.8,991.5,974.8,963.6,966.4,968.5,984,982.3,966.4,965.1,"1,008.20",998.3,"1,002.90","1,004.50",995.2,997,984.5,"1,000.90","1,006.60","1,012.70",979.3,973.9,"1,000.70","1,004.20","1,010.60","1,012.10","1,015.00","1,021.00"
Females,35 to 39 years,888.7,900.6,889.6,904.5,926,943.8,909,904.4,941,933.6,919.8,923.2,932.8,922.1,911.3,923,907.7,916.2,906.1,914.1,962.7,956.9,969.6,968.4,971.9,958.3,954.6,956,956.1,967.6,942,932.3,939.4,942.1,948.2,942,935.7,953.5,966.9,979.7,974.5,979.3,957.4,959.6,974.9,965.3,967.3,981.9,985.6,999.3,988.6,984.1,992.4,987.7,967.7,968.1,998.3,"1,003.70","1,021.70","1,027.80","1,021.60","1,028.70"
Females,40 to 44 years,933.3,925,928.3,920.8,903,888.1,882,894.2,896.7,905.4,933.3,952.9,921.5,913.6,927.1,920.7,937.3,927.8,900.3,901.9,899.7,914.2,912.5,916.9,917.3,943.3,950.7,962.1,961.9,942.8,909.7,926.8,958.8,968,957.2,982.8,968.4,954.6,954.1,962.2,976.5,975.8,940.6,942,983.1,"1,003.00","1,009.70","1,007.60",999.3,"1,004.40",998.9,"1,018.70","1,006.30","1,019.20",965.4,967.7,"1,006.80","1,015.70","1,010.70",993.1,999.6,994.9
Females,45 to 49 years,945.4,959.9,952.5,955.8,961.3,959.1,932.7,914.3,953.4,952.2,969.4,951.9,960.5,967.9,952.1,947.4,939.4,943.9,911.9,906.7,929.8,926.3,924.2,919,916.7,923,933.3,918,928.2,932.3,912.2,907.2,925.8,951.2,958.4,950.9,930.1,937.2,931.2,920.4,919.9,927.6,907.8,898.3,930,934.8,937.7,948.5,945.8,943.1,959.5,962.3,963.8,972.1,954,936.2,964.5,951.7,959.9,969.4,969.3,954.9
Females,50 to 54 years,"1,040.40","1,043.60","1,070.50","1,067.80","1,064.20","1,073.70","1,053.90","1,047.00","1,063.10","1,052.70","1,027.10","1,021.50","1,013.80","1,016.40","1,014.10","1,036.90","1,052.00","1,044.30","1,018.10","1,002.20","1,024.40","1,012.00","1,022.30","1,025.60","1,025.90","1,011.90",999.3,"1,022.50","1,030.30","1,034.70","1,006.40","1,010.00","1,053.10","1,016.70",993.1,991,990.5,998,"1,010.70","1,033.40","1,019.10","1,011.40",987.4,996.9,"1,007.80","1,009.60","1,001.10",995.7,988.8,994.5,972.7,975.9,986.9,967.4,944,959.3,"1,003.90",977.7,957.8,951.4,933.4,940.8
Females,55 to 59 years,835.4,838.6,843.5,835.3,834,838.3,809.9,808.9,820.9,840.3,839.1,850.2,842.1,859.3,868.3,885.9,895.6,897.9,868.5,863.9,895.2,901.7,898.2,888.9,892.6,897.7,886.3,891.9,894.5,903.7,878.7,882.3,911.1,921.3,934.2,934.7,918.8,921.6,902.7,902.2,915.6,916.5,891.8,890.8,922,929,927,910.8,890.4,893.7,893.6,910.4,915.9,932,903.4,898.3,928.2,945.3,930.5,927.3,917.7,924.7
Females,60 to 64 years,474.8,489,502.9,504.7,515.3,507.7,482,496.6,519.9,522.6,525.2,521.2,523.7,515.7,515.5,507.7,518.5,509.9,486.6,503.1,534.3,544.5,526.2,525.5,520.8,528.8,529.3,538,541.1,550.2,528.1,545.8,568.4,565.5,577.1,593,576.5,579.7,576.1,586.6,584,583.8,570.8,573.2,592.4,598.7,602.7,606.6,574.6,573,579,588.1,580.7,593.2,572.8,580.5,609.9,617.3,623,615.3,603.3,602.3
Females,65 years and over,271.3,265.2,259.3,266.5,265.2,260.9,251.9,259.1,276.1,298.4,290,297,292,298,296.7,284.4,286.6,298.8,299.5,296.9,319,318,311.7,315.6,304.1,298.7,301.7,298.2,305.8,314.8,319.9,317.1,333.2,327.6,330.7,328.3,340.5,330.2,321.2,335.5,340.4,336.1,317.1,301,324.2,335.4,341.5,355.6,369.1,378.9,376.1,365.3,375,352.3,332.7,342.3,356.6,362.5,342.7,354.5,353,350.3
Females,65 to 69 years,186.6,178,175.7,179.7,180.8,180,169.4,179.2,194.9,207.5,202.5,202.5,198.7,204.5,195,193.4,192.4,201.5,192.2,190.2,209.2,209.6,203.7,205,201.7,192,199.3,199,200,206.3,208.6,211.5,213.6,207.8,214.2,211.8,218.2,205.8,205.2,216.1,220.4,221.5,211.3,197,207.5,218,218.1,228.7,239.2,249.6,249.5,245.3,254.6,237,221.4,225.5,242.1,240.8,226.8,238.4,237.4,234.9
Females,70 years and over,84.7,87.2,83.6,86.8,84.4,80.9,82.6,79.9,81.2,90.8,87.5,94.5,93.3,93.5,101.6,91.1,94.2,97.3,107.3,106.7,109.7,108.4,107.9,110.6,102.4,106.8,102.4,99.1,105.8,108.5,111.3,105.6,119.6,119.8,116.5,116.5,122.3,124.3,116,119.5,120,114.6,105.8,104.1,116.8,117.4,123.4,126.9,129.9,129.2,126.6,120,120.4,115.3,111.4,116.7,114.6,121.6,116,116.1,115.6,115.4
